sold,account,password,productSalesId
false,25543d5d1e49bfab@example.com,0b57b646193cd4f0,1
false,e34732d50c980b57@example.com,6f51f88f1475da8e,1
false,f7570704853601f2@example.com,460e2c3e1153db4f,1
false,44c4f30e779900e8@example.com,b88189a3955e20cf,1
false,c361d42cdbac5c26@example.com,2052081de8ac3ab9,1
false,85b4e8d599dc7dfa@example.com,69e5841e9f89d5a9,1
false,c8323128ee4668ed@example.com,0d6cc225ae12af06,1
false,c37a6faf01cd4a9d@example.com,b8a00f7f346e2244,1
false,121d18debb58aa44@example.com,86c13fa918433f7c,1
false,acdfbb2400a41ba9@example.com,19a18ff7a1698028,1
false,2801277c1483115d@example.com,a43c25ef16d1ee53,1
false,5b1c3292ab4fe708@example.com,4ca1aec2cbfbcb68,1
false,af5b58d6d6226760@example.com,a88dbfdc4c613b90,1
false,b8e8250d699bf68b@example.com,2ea02e5b399d0bfb,1
false,ff5b3feb4ef38a58@example.com,bf9178da5515cc14,1
false,0734608e79590a62@example.com,8c27ceb32db1a6be,1
false,82fd669d594a6f67@example.com,7b5734d627ebd996,1
false,47b122b4e3d5c201@example.com,a9fe0b489a2e6373,1
false,6f82640940fa516d@example.com,8e41c28a055d3662,1
false,8063f0cf33dbf8aa@example.com,2056b0885532047d,1
